ID	ComplaintNo	SR	Datereceived	timereceived	Requestor	Building	department	location	CMType	Description	responseDate	ResponseTime	responsedBy	Response	Inspection	InspectBy	image1	image2	Report	COID	Contractor	Insp_position	Status	DateClose	TimeClose	AggreeBy	Agg_Position	QRef	QDesc	QFile	Staff	Priority	Odometer	Vehicle	DateModify	TimeModify	ModifyBy	TrailerNo	Driver	Jarak_Operasi	MrType	ForTrailer
882689	NULL	MR/23/40600/20/07866	14:15.4	Dec 12 2023  4:14PM	shahrul	40600	NULL	442061020	NULL	mudguard	20:01.3	Dec 13 2023  6:20PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	1781770	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
882690	NULL	MR/23/40600/20/07867	14:41.7	Dec 12 2023  4:14PM	shahrul	40600	NULL	442061020	NULL	tukar tayar	48:27.3	Dec 15 2023  8:48AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:57:58 AM	1700250	NULL	NULL	NULL	NULL	1701390	1	1781770	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
882750	NULL	MR/23/40600/20/07876	58:20.8	Dec 13 2023  9:58AM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	06:57.3	Dec 18 2023  4:06PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	1781770	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
883036	NULL	MR/23/40600/20/07938	04:19.5	Dec 15 2023 11:04AM	shahrul	40600	NULL	442061020	NULL	check sensor check minyak enjin	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1701390	1	1782335	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
883604	NULL	MR/23/40600/20/08040	36:33.6	Dec 20 2023  2:36PM	shahrul	40600	NULL	442061020	NULL	adjust brake	25:43.7	Dec 22 2023 10:25AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701016	1	1784717	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
884666	NULL	MR/23/40600/20/08057	15:43.8	Dec 21 2023  8:15AM	shahrul	40600	NULL	442061020	NULL	bdown di tol paka 11/12/23 tayar bocor	27:30.2	Jun 18 2024 12:27PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	3:58:20 PM	1700250	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
884769	NULL	MR/23/40600/20/08085	18:16.4	Dec 21 2023  3:18PM	shahrul	40600	NULL	442061020	NULL	side mirror	13:08.0	Dec 28 2023  3:13PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	1785215	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
884770	NULL	MR/23/40600/20/08086	19:02.3	Dec 21 2023  3:19PM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	07:16.8	Jan  4 2024  2:07PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	1785215	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
885298	NULL	MR/23/40600/20/08186	17:56.1	Dec 27 2023  3:17PM	shahrul	40600	NULL	442061020	NULL	lining brake minyak enjin leaking	25:00.6	Jan  3 2024 10:25AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	1787123	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
885588	NULL	MR/23/40600/20/08247	04:43.8	Dec 30 2023 11:04AM	shahrul	40600	NULL	442061020	NULL	minyak enjin	54:17.9	Jan 17 2024  3:54PM	1700217		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700217	NULL	NULL	NULL	NULL	1701390	1	1787123	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
885589	NULL	MR/23/40600/20/08248	05:09.3	Dec 30 2023 11:05AM	shahrul	40600	NULL	442061020	NULL	tukar tayar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1701390	1	1787123	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
885780	NULL	MR/24/40600/20/00019	57:23.3	Jan  2 2024 11:57AM	shahrul	40600	NULL	442061020	NULL	check aircond	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1701390	1	1788317	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
885781	NULL	MR/24/40600/20/00020	58:12.1	Jan  2 2024 11:58AM	shahrul	40600	NULL	442061020	NULL	tukar tayar	09:06.7	Jan  5 2024  4:09PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:52:37 AM	1700250	NULL	NULL	NULL	NULL	1701390	1	1788317	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
885869	NULL	MR/24/40600/20/00047	37:54.3	Jan  2 2024  5:37PM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	00:36.2	Jan 19 2024  3:00PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	1788317	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
886410	NULL	MR/24/40600/20/00158	05:25.8	Jan  8 2024 10:05AM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	42:07.5	Jan 18 2024 11:42AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	1790908	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
886889	NULL	MR/24/40600/20/00273	43:55.4	Jan 11 2024  2:43PM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	36:47.1	Jan 17 2024  4:36PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	9:59:34 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
888655	NULL	MR/24/40600/20/00424	53:55.8	Jan 17 2024  4:53PM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	42:44.1	Feb  7 2024  5:42PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:51:46 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
888663	NULL	MR/24/40600/20/00426	23:07.8	Jan 17 2024  5:23PM	shahrul	40600	NULL	442061020	NULL	cuci luar	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	00:00.0	NULL	NULL	NULL	NULL	NULL	NULL	1701390	1	1794951	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
891321	NULL	MR/24/40600/20/00557	50:05.6	Jan 23 2024  9:50AM	shahrul	40600	NULL	442061020	NULL	spring trailer patah tukar lining minyak enjin	43:16.0	Jan 25 2024  2:43PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	1797459	WRH311	30:21.0	30:21.0	1701390	TWC311	42005468	0	1	0
891544	NULL	MR/24/40600/20/00594	22:39.2	Jan 24 2024  3:22PM	shahrul	40600	NULL	442061020	NULL	tukar tayar	16:14.3	Feb 13 2024 12:16PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:52:37 AM	1700250	NULL	NULL	NULL	NULL	1701390	1	1797459	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
891552	NULL	MR/24/40600/20/00595	50:26.0	Jan 24 2024  3:50PM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	17:18.1	Feb  5 2024  3:17PM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:51:46 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	1797459	WRH311	53:14.7	53:14.7	1701390	TWC311	42005468	0	2	0
895194	NULL	MR/24/40600/20/00736	40:29.7	Jan 31 2024 10:40AM	shahrul	40600	NULL	442061020	NULL	cuci luar dalam	49:50.6	Feb  3 2024 11:49AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	11:51:46 AM	1701456	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	2	0
895277	NULL	MR/24/40600/20/00755	42:50.8	Jan 31 2024  2:42PM	shahrul	40600	NULL	442061020	NULL	tukar tayar	14:28.7	Feb 29 2024 12:14PM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:43:55 AM	1700250	NULL	NULL	NULL	NULL	1701390	1	0	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
895328	NULL	MR/24/40600/20/00773	22:25.9	Jan 31 2024  5:22PM	shahrul	40600	NULL	442061020	NULL	Lori tidak ada power	47:50.8	Feb 13 2024 10:47AM	1701456		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1701456	NULL	NULL	NULL	NULL	1701390	1	1799403	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
895360	NULL	MR/24/40600/20/00779	48:59.9	Feb  1 2024  8:48AM	shahrul	40600	NULL	442061020	NULL	bdown di kenyir 29/1/24 lori under power	00:12.3	Feb  1 2024 12:00PM	1700520		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	NULL	1700520	NULL	NULL	NULL	NULL	1701390	1	1799403	WRH311	NULL	NULL	NULL	TWC311	42005468	0	1	0
895625	NULL	MR/24/40600/20/00822	32:16.1	Feb  2 2024  4:32PM	shahrul	40600	NULL	442061020	NULL	tukar tayar	54:32.1	Feb 16 2024  9:54AM	1700250		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	3	00:00.0	8:43:55 AM	1700250	NULL	NULL	NULL	NULL	1701390	1	1799404	WRH311	NULL	NULL	NULL	TWC311	42005468	0	3	0
